PRESS  HGT(MSL)  TEMP  DEWPT  WNDDIR  WNDSPEED
HPA  M  C  C  DEG  M/S
E Estimated surface height
  
827.7	1664.E	-15.45	-25.55	7	14
826.6	1674	-15.55	-25.55	7	13.8
825.4	1685	-15.65	-25.55	8	13.7
824.3	1695	-15.75	-25.55	8	13.5
823.4	1703	-15.75	-25.55	9	13.4
822.6	1711	-15.85	-25.55	9	13.4
821.7	1719	-15.85	-25.55	9	13.4
820.8	1727	-15.95	-25.65	9	13.4
820	1735	-16.05	-25.65	9	13.5
819.1	1742	-16.05	-25.65	9	13.5
818.2	1751	-16.15	-25.65	9	13.7
817.1	1761	-16.25	-25.65	9	13.8
816	1771	-16.35	-25.65	9	13.9
814.9	1781	-16.35	-25.75	8	14
813.7	1792	-16.45	-25.95	8	14.1
812.7	1802	-16.55	-25.95	8	14.2
811.9	1809	-16.65	-25.95	9	14.3
811	1817	-16.75	-25.95	9	14.3
810.1	1825	-16.75	-25.95	9	14.4
809.4	1832	-16.85	-26.05	9	14.4
808.7	1839	-16.85	-26.05	9	14.5
808	1846	-16.95	-26.05	9	14.5
807.1	1854	-17.05	-26.15	9	14.6
806.1	1863	-17.05	-26.15	9	14.6
804.9	1874	-17.15	-26.15	9	14.7
803.9	1883	-17.15	-26.15	8	14.8
803.1	1891	-17.15	-26.15	7	14.9
802.2	1900	-17.25	-26.15	7	15
801.2	1908	-17.25	-26.25	6	15.2
800.3	1917	-17.25	-26.25	4	15.3
799.4	1925	-17.25	-26.25	3	15.5
798.5	1934	-17.15	-26.15	2	15.6
797.5	1943	-16.95	-25.95	1	15.8
796.6	1952	-16.55	-25.85	1	15.9
795.7	1960	-16.35	-25.95	360	16.1
794.8	1969	-16.35	-26.05	359	16.2
793.9	1977	-16.35	-26.15	359	16.4
793.2	1984	-16.25	-26.25	358	16.5
792.4	1991	-16.25	-26.45	358	16.7
791.5	2000	-16.25	-26.45	358	16.9
790.6	2008	-16.25	-26.55	357	17
789.7	2017	-16.15	-26.45	357	17.1
788.8	2025	-16.05	-26.45	357	17.2
788.1	2033	-15.95	-26.65	357	17.3
787.5	2039	-15.85	-26.95	356	17.4
786.8	2045	-15.75	-27.15	356	17.5
785.9	2053	-15.75	-27.15	355	17.5
785	2062	-15.75	-27.05	354	17.6
784.2	2069	-15.75	-27.05	354	17.6
783.5	2077	-15.75	-26.95	353	17.6
782.6	2085	-15.65	-26.85	352	17.7
781.9	2092	-15.65	-26.85	352	17.7
781.1	2100	-15.55	-26.75	351	17.7
780	2110	-15.55	-26.65	351	17.7
778.9	2121	-15.65	-26.55	351	17.6
777.8	2131	-15.75	-26.65	351	17.5
776.9	2140	-15.85	-26.65	351	17.4
776	2149	-15.95	-26.75	351	17.2
775.3	2156	-15.95	-26.75	352	17
774.5	2164	-16.05	-26.75	352	16.7
773.5	2173	-16.05	-26.85	353	16.4
772.3	2185	-16.15	-26.85	354	16.1
771.3	2195	-16.15	-26.95	356	15.8
770.3	2204	-16.15	-27.05	357	15.6
769.3	2214	-16.15	-27.25	359	15.3
768.3	2224	-16.15	-27.45	360	15
767.4	2232	-16.15	-27.55	2	14.8
766.5	2242	-16.25	-27.65	3	14.6
765.5	2251	-16.25	-27.75	5	14.4
764.5	2262	-16.35	-27.95	6	14.2
763.4	2272	-16.35	-28.05	8	14
762.3	2283	-16.35	-28.25	9	13.8
761.4	2292	-16.35	-28.45	9	13.6
760.6	2300	-16.35	-28.55	10	13.4
759.7	2308	-16.45	-28.65	11	13.1
758.6	2319	-16.25	-28.85	11	12.9
757.4	2331	-16.15	-29.15	11	12.6
756.5	2341	-16.15	-29.35	12	12.4
755.8	2347	-16.15	-29.45	12	12.2
755.3	2352	-16.15	-29.45	12	12
754.6	2359	-16.05	-29.55	12	11.9
753.9	2366	-16.05	-29.55	13	11.9
753.2	2374	-15.95	-29.65	13	11.9
752.4	2381	-15.95	-29.65	14	11.9
751.7	2389	-15.95	-29.65	14	12
750.9	2396	-15.95	-29.75	14	12.2
750.3	2403	-16.05	-29.65	14	12.3
749.7	2409	-16.05	-29.65	14	12.5
749	2416	-16.05	-29.65	14	12.7
748.3	2422	-16.05	-29.65	13	12.9
747.6	2430	-16.05	-29.65	13	13
746.6	2440	-15.95	-29.75	13	13.2
745.5	2451	-15.85	-29.95	12	13.3
744.4	2461	-15.75	-30.15	12	13.4
743.5	2471	-15.75	-30.25	12	13.4
742.3	2483	-15.65	-30.35	12	13.5
741.2	2494	-15.55	-30.65	12	13.5
740.2	2504	-15.55	-30.85	13	13.5
739.3	2514	-15.65	-30.95	14	13.5
738.5	2522	-15.65	-31.05	15	13.5
737.7	2530	-15.55	-31.05	16	13.5
737	2537	-15.55	-31.15	18	13.5
736.3	2544	-15.45	-31.25	19	13.4
735.6	2551	-15.45	-31.45	20	13.4
734.8	2559	-15.45	-31.65	21	13.4
734.2	2566	-15.45	-31.75	22	13.4
733.5	2573	-15.55	-31.75	23	13.3
732.8	2580	-15.55	-31.85	23	13.3
732.1	2588	-15.65	-31.95	22	13.2
731.3	2596	-15.65	-31.95	22	13.2
730.4	2605	-15.75	-31.95	21	13.2
729.4	2615	-15.85	-32.05	20	13.2
728.3	2627	-15.95	-32.05	19	13.2
727.2	2638	-15.95	-32.15	18	13.2
726.3	2647	-16.05	-32.15	17	13.3
725.6	2654	-16.15	-32.15	15	13.4
724.9	2662	-16.15	-32.15	14	13.5
724.1	2671	-16.25	-31.95	13	13.5
723.2	2679	-16.25	-31.55	13	13.6
722.2	2690	-16.35	-31.55	12	13.6
