
Output from Plumeria 2, fortran version, run date 2022.02.06   0:20

Input values:
        Tropopause elevation above vent (km):    11.0
                   Height of tropopause (km):     9.0
                   Thermal lapse rate (C/km):   -6.50
                       Relative humidity, % :     0.0
                 Air temperature at vent (C):    15.0
          Air pressure  at vent, atmospheres:   1.000
               wind speed at sea level (m/s):   0.000
   change in wind speed with elevation (1/s):   0.000
                wind direction (deg. E of N):    90.0
                           Vent diameter (m):     1.0
                          Vent elevation (m):     0.0
                      Initial velocity (m/s):   200.0
                       Magma temperature (C):    900.
                         Weight fraction gas:   0.030
                         Weight fraction air:   0.001
               Magma specific heat, (J/kg K):  1000.0
                      Magma density, (kg/m3):  2500.0
                     Mixture density (kg/m3):   6.103
                   Mass fraction water added:   0.000
                           Mass flux, (kg/s):  0.959E+03
                 Mass flux of solids, (kg/s):  0.930E+03
                   Mixture sound speed (m/s):   144.0
**********************************************************************************************************************************************************************************************
   i        s        z        x        y       m_m       m_a       m_w       m_l       m_i      v       u          r   T_mix   T_air   rho_mix   rho_air    Time     p_air     water       ice
       meters   meters   meters   meters                                                      m/s     m/s          m  Kelvin  Kelvin     kg/m3     kg/m3 seconds        Pa      g/m3      g/m3
  25      1.3      1.3      0.0      0.0 0.799E+00 0.176E+00 0.247E-01 0.000E+00 0.000E+00    0.00   164.97       1.2  1017.9   288.1     1.607     1.225     0.0  101284.2 0.000E+00 0.000E+00
  26      1.4      1.4      0.0      0.0 0.793E+00 0.183E+00 0.245E-01 0.000E+00 0.000E+00    0.00   163.55       1.2  1011.6   288.1     1.568     1.225     0.0  101283.4 0.000E+00 0.000E+00
  27      1.4      1.4      0.0      0.0 0.786E+00 0.190E+00 0.243E-01 0.000E+00 0.000E+00    0.00   162.13       1.2  1005.3   288.1     1.532     1.225     0.0  101282.6 0.000E+00 0.000E+00
  28      1.5      1.5      0.0      0.0 0.779E+00 0.197E+00 0.241E-01 0.000E+00 0.000E+00    0.00   160.71       1.3   999.1   288.1     1.497     1.225     0.0  101281.8 0.000E+00 0.000E+00
  29      1.6      1.6      0.0      0.0 0.772E+00 0.204E+00 0.239E-01 0.000E+00 0.000E+00    0.00   159.30       1.3   992.8   288.1     1.465     1.225     0.0  101281.0 0.000E+00 0.000E+00
  30      1.7      1.7      0.0      0.0 0.765E+00 0.211E+00 0.237E-01 0.000E+00 0.000E+00    0.00   157.88       1.3   986.5   288.1     1.435     1.225     0.0  101280.1 0.000E+00 0.000E+00
  31      1.7      1.7      0.0      0.0 0.758E+00 0.218E+00 0.235E-01 0.000E+00 0.000E+00    0.00   156.47       1.3   980.3   288.1     1.406     1.225     0.0  101279.3 0.000E+00 0.000E+00
  32      1.8      1.8      0.0      0.0 0.751E+00 0.225E+00 0.232E-01 0.000E+00 0.000E+00    0.00   155.06       1.4   974.0   288.1     1.379     1.225     0.0  101278.4 0.000E+00 0.000E+00
  33      1.9      1.9      0.0      0.0 0.745E+00 0.232E+00 0.230E-01 0.000E+00 0.000E+00    0.00   153.65       1.4   968.6   288.1     1.352     1.225     0.0  101277.5 0.000E+00 0.000E+00
  34      1.9      1.9      0.0      0.0 0.738E+00 0.239E+00 0.228E-01 0.000E+00 0.000E+00    0.00   152.24       1.4   962.5   288.1     1.327     1.225     0.0  101276.6 0.000E+00 0.000E+00
  35      2.0      2.0      0.0      0.0 0.731E+00 0.246E+00 0.226E-01 0.000E+00 0.000E+00    0.00   150.83       1.4   956.3   288.1     1.304     1.225     0.0  101275.7 0.000E+00 0.000E+00
  36      2.1      2.1      0.0      0.0 0.724E+00 0.253E+00 0.224E-01 0.000E+00 0.000E+00    0.00   149.42       1.5   950.2   288.1     1.282     1.225     0.0  101274.8 0.000E+00 0.000E+00
  37      2.2      2.2      0.0      0.0 0.717E+00 0.261E+00 0.222E-01 0.000E+00 0.000E+00    0.00   148.01       1.5   944.1   288.1     1.262     1.225     0.0  101273.9 0.000E+00 0.000E+00
  38      2.3      2.3      0.0      0.0 0.710E+00 0.268E+00 0.220E-01 0.000E+00 0.000E+00    0.00   146.60       1.5   938.0   288.1     1.242     1.225     0.0  101272.9 0.000E+00 0.000E+00
  39      2.3      2.3      0.0      0.0 0.704E+00 0.275E+00 0.218E-01 0.000E+00 0.000E+00    0.00   145.20       1.5   931.9   288.1     1.223     1.225     0.0  101271.9 0.000E+00 0.000E+00
  40      2.4      2.4      0.0      0.0 0.697E+00 0.282E+00 0.216E-01 0.000E+00 0.000E+00    0.00   143.79       1.6   925.8   288.1     1.205     1.225     0.0  101270.9 0.000E+00 0.000E+00
